الأسم,الموديل,السعر,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,طرف ثالث,التكميلي (جسم المركبة),المجموع,الدفع
مرسيدس 220,1997,30000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,220,,١+٤,إمكانية التقسيط,للبيع فقط,,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد",467,500,967,
,,,,,,,,,,,,,,,,,,,
فولفو FH 12,2001,190000.0,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,420,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",467,1663,2130,
,,,,,,,,,,,,,,,,,,,
فولكسفاجن باسات,2000,36000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",670,500,1170,
,,,,,,,,,,,,,,,,,,,
شفروليه اوبترا,2007,28000.0,ذهبي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1340,1000,2340,
هونداي كليك,2008,42000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,000000,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,
كيا فورتي,2009,44500.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,99,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
اوبل أوميغا,1997,33000.0,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,200000,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",845,500,1345,
كيا فورتي,2008,59500.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,82000,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1042,2382,
كيا ريو,2007,3800.0,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1500,32123123,4+1,إمكانية التقسيط,للبيع فقط,رابعه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,
اوبل استرا,1999,28500.0,أخضر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,120 الف,4+1,إمكانية التقسيط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",517,500,1017,
سكودا اوكتافيا,2009,55000.0,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,000000,4+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
هونداي الانترا,2006,30000.0,أزرق سماوي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1999,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
مسجل CD
فتحة سقف",1340,1000,2340,
فولكسفاجن باسات,1998,38000.0,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,166000,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",670,500,1170,
سكودا اوكتافيا,2007,50000.0,فيراني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,275000,4+1,نقدا فقط,للبيع أو التبديل,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
رينو R5,1988,14500.0,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,نقدا فقط,للبيع فقط,,"إغلاق مركزي
جنطات مغنيسيوم",517,500,1017,
هونداي اكسنت,2013,67000.0,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,4+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1173,2208,
اوبل كورسا,2013,54000.0,فيراني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,00000,4+1,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,
مازدا 6,2015,170000.0,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,50000,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,2976,4665,
دايو ليجانزا,1999,23000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,نقدا فقط,للبيع فقط,,,670,500,1170,
كيا سبورتاج,2011,89500.0,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,82700,,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1567,2907,
سكودا اوكتافيا,2008,60000.0,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1050,2390,
فولكسفاجن طوارق,2008,130000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3600,123000,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,2275,3965,
,,,,,,,,,,,,,,,,,,,
فولكسفاجن جولف,2010,78000.0,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,120000,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1366,2400,
,,,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,2008,63000.0,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,500000,4+1,نقدا فقط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1103,2443,
ايسوزو تروبر,1999,59000.0,ذهبي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3000,18000000,6+1,إمكانية التقسيط,للبيع أو التبديل,5,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",845,516,1361,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
هونداي جيتس,2008,41000.0,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٥٠,٤+١,نقدا فقط,للبيع أو التبديل,٤,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
اوبل اسكونا,1984,11000.0,فضي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,100000,4+1,نقدا فقط,للبيع فقط,4,,517,500,1017,
سكودا اوكتافيا,2007,60500.0,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,إمكانية التقسيط,للبيع فقط,,"جهاز إنذار
مسجل CD
جنطات مغنيسيوم",1340,1059,2399,
,,,,,,,,,,,,,,,,,,,
سانغ يونغ Sym,2013,5000.0,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",935,1000,1935,
فولكسفاجن كادي,2014,105000.0,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000,6+1,نقدا فقط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1838,3178,
سيت ابيزا,2014,58000.0,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,80000,4+1,إمكانية التقسيط,للتبديل فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1016,2050,
فيات دوبلو,2004,33000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,نقدا فقط,للبيع فقط,يد ثانية,"مسجل CD
جنطات مغنيسيوم",1340,1000,2340,
دايو لانوس,2002,26999.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",517,500,1017,
,,,,,,,,,,,,,,,,,,,
كيا بيكانتو,2014,52000.0,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1100,20000,4+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف
جهاز إنذار
مسجل CD",1035,1000,2035,
هونداي سانتافيه,2014,135000.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,87000,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2363,3703,
,,,,,,,,,,,,,,,,,,,
مرسيدس C250,2015,175000.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,30000,,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,3063,4753,
بيجو 206,2007,28000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,160000,,نقدا فقط,للبيع فقط,يد رابعة,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1340,1000,2340,
شفروليه اوبترا,2011,39000.0,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,110000,,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1340,1000,2340,
,,,,,,,,,,,,,,,,,,,
فورد كونيكت,2005,45000.0,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,1850,22000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1340,1000,2340,
فولكسفاجن باسات,2007,72500.0,بني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1269,2609,
هونداي فيرنا,2002,35000.0,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,350000,4+1,إمكانية التقسيط,للبيع أو التبديل,٢,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",517,500,1017,
سكودا اوكتافيا,2014,120000.0,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2100,3440,
هونداي اكسنت,2013,58000.0,سكني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,75000,,نقدا فقط,للبيع فقط,,مُكيّف,1035,1016,2050,
اوبل استرا,1997,26000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
مسجل CD",670,500,1170,
,,,,,,,,,,,,,,,,,,,
ايسوزو  4800,2003,60000.0,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,4800,700000,2+1,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1690,1050,2740,
هونداي توسان,2015,89000.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,55,5+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1558,2898,
,,,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,2001,37000.0,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,٤٠٠٠٠٠,١+٤,نقدا فقط,للبيع أو التبديل,يد ثالثه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",670,500,1170,
دايو 2000,2000,30000.0,زيتي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,5+1,إمكانية التقسيط,للبيع أو التبديل,6,"مُكيّف
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",670,500,1170,
تويوتا كورولا,1998,44000.0,بنفسجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,٤+١,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",670,500,1170,
هونداي سانتافيه,2014,143000.0,بترولي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,35000,6+١,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2503,3843,
سيت ليون,2015,73000.0,بني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1278,2313,
هونداي سانتافيه,2013,145000.0,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,380000,6+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,2538,4228,
